Frame,CPU_Time(ms),GPU_Time(ms)
0,4281,337.176
1,4062,323.71
2,4108,307.744
3,4117,307.704
4,4257,326.941
5,4158,309.111
6,4187,306.414
7,4214,305.122
8,4285,309.029
